Artist	Title	Lyric
Katy Perry	Electric	lyrics from snippet full at release  electric
Katy Perry	More Than This Life	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Chugga Chugga Choo	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Attention (Zedd Solo Remix)	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	I Go to Sleep	lyrics from snippet  yeah i close my eyes and there you are mine  wherever you are tonight will you
Katy Perry	In Another Life	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	She’s The Hudson	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Attention (Marshmellow Remix)	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Crazy Girl*	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Am I Wrong?	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Last Laugh	lyrics from snippet  baby you are a magic thing to be juggling so many different
Katy Perry	Are You Tipping	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Boomerang	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Fun	00 capitol music group
Katy Perry	Sherlock Holmes	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	My Heart	no lyrics available in this moment
Katy Perry	LA Don’t Take It Away	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Oh Love Let Me Sleep	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Last Cry	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Have A Nice Day	not available
Katy Perry	R.I.P.	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Hamburger	eu me prostituía pra comer x burger
Katy Perry	She’s So Creepy	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	North Star	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Weak	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Perfect Mystery	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	End Up This Way	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	La Quisen Sjol	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Lump	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Purer The Gold	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Remember Love	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Heartache Crusade	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Sleeping in on Saturday	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Con Artist	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Now That It’s Over	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Peace At Last	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Dove	unreleased
Katy Perry	Everything You Do	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Stay	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Face the Music	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Scream	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	I’ts OK	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Tomorrow	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Toothbrush	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	In Flames	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Legacy	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Love Never Ends	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Work It	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Tipulo	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Nothing At All	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	I Can Not Feel	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Speak Louder	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Warm Body	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Stupefied	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Super-Duper Me	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	E.T. (Breathe Electric Remix)	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Teenage Dream (Breathe Electric Remix)	lyrics for this song have yet to be released please check back once the song has been released
Post Malone	Blow It All*	snippet i spend it how i wanna blow it how i wanna i just spent the bentley on some moncler
Khalid	Raining In Miami	lyrics for this song have yet to be released please check back once the song has been released
Khalid	Perfect Lover	lyrics for this song have yet to be released please check back once the song has been released
